Itemset,Support
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Month 33', 'Year 41')",4180
"('Depth 6', 'Magnitude Type ML', 'Month 33', 'Year 41')",4243
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Month 33')",4822
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",4821
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",4806
"('Depth 6', 'Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII')",4826
"('Depth 6', 'Longitude 6', 'Month 33', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",4808
"('Depth 6', 'Longitude 6', 'Month 33')",4829
"('Depth 6', 'Longitude 6', 'Month 33', 'Year 41')",4808
"('Depth 6', 'Month 33', 'Year 41')",4908
"('Depth 6', 'Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",8632
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII', 'Year 41')",8627
"('Depth 6', 'Latitude 148', 'Longitude 6', 'Magnitude Type ML', 'Region Name ISLAND OF HAWAII, HAWAII')",8760
