Bins,Label
722.25,Depth 974
723.0,Depth 975
723.75,Depth 976
724.5,Depth 977
725.25,Depth 978
726.0,Depth 979
726.75,Depth 980
727.5,Depth 981
728.25,Depth 982
729.0,Depth 983
729.75,Depth 984
730.5,Depth 985
731.25,Depth 986
732.0,Depth 987
732.75,Depth 988
733.5,Depth 989
734.25,Depth 990
735.0,Depth 991
735.75,Depth 992
736.5,Depth 993
737.25,Depth 994
738.0,Depth 995
738.75,Depth 996
739.5,Depth 997
740.25,Depth 998
741.0,Depth 999
741.75,Depth 1000
742.5,Depth 1001
743.25,Depth 1002
744.0,Depth 1003
744.75,Depth 1004
745.5,Depth 1005
746.25,Depth 1006
747.0,Depth 1007
747.75,Depth 1008
748.5,Depth 1009
749.25,Depth 1010
750.0,Depth 1011
